SKI RESORT,TOWN,STATE SHORT,COUNTY
Bottineau Winter Park , Bottineau,ND,Bottineau
Frost Fire , Walhalla,ND,Pembina
Mad River Mountain , Bellefontaine,OH,Logan
Alpine Valley Ski Area , Chesterland,OH,Geauga
Big Creek Ski Area , Concord,OH,Hamilton
Snow Trails Ski Resort , Mansfield,OH,Richland
Boston Mills/Brandywine Ski Resort , Peninsula,OH,Summit
Mount Ashland , Ashland,OR,Jackson
Mount Bachelor , Bend,OR,Deschutes
Mount Hood Meadows , Government Camp,OR,Clackamas
Mount Hood Skibowl , Government Camp,OR,Polk
Summit Ski Area , Government Camp,OR,Grant
Timberline Lodge , Government Camp,OR,Josephine
Ferguson Ridge , Joseph,OR,Wallowa
Warner Canyon , Lakeview,OR,Lake
Anthony Lakes , North Powder,OR,Union
Willamette Pass , Odell Lake,OR,Hood River
Cooper Spur , Parkdale,OR,Hood River
Hoodoo , Sisters,OR,Deschutes
Liberty Mountain Resort , Carroll Valley,PA,Adams
Blue Knob All Seasons Resort , Claysburg,PA,Blair
Ski Denton , Coudersport,PA,Potter
Shawnee Mountain Ski Area , East Stroudsburg,PA,Monroe
Mountain View at Edinboro , Edinboro,PA,Erie
Eagle Rock Resort , Hazleton,PA,Luzerne
Ski Roundtop , Lewisberry,PA,York
Bear Creek Mountain Resort , Macungie,PA,Lehigh
Whitetail Ski Resort , Mercersburg,PA,Franklin
Blue Mountain Ski Area , Palmerton,PA,Carbon
Boyce Park , Plum,PA,Allegheny
Spring Mountain , Schwenksville,PA,Montgomery
Montage Mountain Ski Resort , Scranton,PA,Lackawanna
Seven Springs Mountain Resort , Seven Springs,PA,Somerset
Tussey Mountain Ski Area , State College,PA,Centre
Elk Mountain , Union Dale,PA,Susquehanna
Mystic Miner Ski Resort , Lead,SD,Lawrence
Terry Peak Ski Area , Lead,SD,Lawrence
Great Bear Recreation Park , Sioux Falls,SD,Minnehaha
Ober Gatlinburg , Gatlinburg,TN,Sevier
Mount Aggie Ski Slope , College Station,TX,Brazos
Alta , Alta,UT,Salt Lake
Eagle Point Ski Resort , Beaver,UT,Beaver
Brighton , Big Cottonwood Canyon,UT,Salt Lake
Solitude , Big Cottonwood Canyon,UT,Salt Lake
Brian Head , Brian Head,UT,Iron
Nordic Valley , Eden,UT,Weber
Powder Mountain , Eden,UT,Weber
Snowbasin , Huntsville,UT,Weber
